"CODIGO";"DOTACAO";"GRUPO";"DESCRICAOGRUPO";"ITEM";"RECEITA";"DESCRICAOITEM";"USUARIO";"DHMODIFICACAO"
"272,000000";"242254,000000";"081";"Manutenção de Edifícios - Orçamento";"333051";"";"Ferramentas Avulsas Não Acionadas p/Força Motora";"NUNO";"16/07/2009 10:12"
"273,000000";"242440,000000";"857";"Projetos Especiais - Renda Industrial";"332001";"S";"Auxilio Financeiro a Pesquisadores";"NUNO";"17/07/2009 11:08"
"274,000000";"244109,000000";"080";"Básica - Renda Industrial";"333943";"S";"Jornais, Revistas e Periódicos";"NUNO";"12/08/2009 14:19"
"275,000000";"247760,000000";"080";"Básica - Orçamento";"449201";"";"Despesas de Exercícios Anteriores";"NUNO";"13/10/2009 11:12"
"276,000000";"246802,000000";"174";"Acréscimos Orçamentários - Orçamento";"333022";"";"Óleo Diesel";"NUNO";"07/12/2009 09:23"
"277,000000";"246209,000000";"174";"Acréscimos Orçamentários - Orçamento";"333992";"";"Despesas Miudas e de Pronto Pagamento";"NUNO";"13/10/2009 16:27"
"278,000000";"246888,000000";"857";"Projetos Especiais - Renda Industrial";"333343";"S";"Locação de Veículos , Aeronaves e Outros";"NUNO";"14/10/2009 12:13"
"279,000000";"250273,000000";"857";"Projetos Especiais - Orçamento";"333912";"";"Serviços, Programas e Aplicativos de Informática";"NUNO";"04/12/2009 14:34"
"280,000000";"251830,000000";"174";"Acréscimos Orçamentários - Orçamento";"333021";"";"Gasolina";"NUNO";"12/04/2010 14:30"
"281,000000";"250850,000000";"080";"Básica - Renda Industrial";"333060";"S";"Suprimentos de Informática";"NUNO";"07/12/2009 16:21"
"282,000000";"250087,000000";"080";"Básica - Renda Industrial";"333981";"S";"Reforma de Bens Imóveis";"NUNO";"07/12/2009 16:21"
"283,000000";"251687,000000";"857";"Projetos Especiais - Renda Industrial";"333919";"S";"Locação de Equipamentos de Audio-Visual";"NUNO";"20/05/2010 09:23"
"284,000000";"254627,000000";"080";"Básica - Orçamento";"339301";"";"Indenizações e Restituições Diversas";"NUNO";"02/03/2010 14:42"
"285,000000";"256433,000000";"179";"Convênios - Renda Industrial";"333999";"S";"Outros Serviços e Encargos - Pessoa Juridica";"NUNO";"17/02/2012 10:09"
"286,000000";"256441,000000";"179";"Convênios - Renda Industrial";"333614";"S";"Monitores";"NUNO";"21/06/2010 15:52"
"287,000000";"256468,000000";"179";"Convênios - Renda Industrial";"445234";"S";"Outros Equipamentos e Material Permanente";"NUNO";"03/03/2010 16:34"
"288,000000";"256450,000000";"179";"Convênios - Renda Industrial";"445220";"S";"Equipamentos para Informática";"NUNO";"03/03/2010 16:34"
"289,000000";"257987,000000";"082";"Equipamentos de Segurança - Renda Industrial";"333050";"S";"Peças de Reposição e Acessórios";"NUNO";"12/05/2010 09:55"
"290,000000";"259521,000000";"174";"Acréscimos Orçamentários - Orçamento";"331401";"";"Diárias Pessoal Civil";"NUNO";"20/07/2010 10:53"
"291,000000";"259297,000000";"179";"Convênios";"331401";"";"Diárias Pessoal Civil";"NUNO";"21/03/2012 10:48"
"292,000000";"259300,000000";"179";"Convênios";"333090";"";"Outros Materiais de Consumo";"NUNO";"21/03/2012 10:48"
"293,000000";"259270,000000";"179";"Convênios";"333342";"";"Passagens Aéreas";"NUNO";"21/03/2012 10:47"
"294,000000";"259289,000000";"179";"Convênios";"333345";"";"Outras Despesas com Transporte e Locomoção";"NUNO";"21/03/2012 10:47"
"295,000000";"259262,000000";"179";"Convênios";"333614";"";"Monitores Bolsistas";"NUNO";"21/03/2012 10:46"
"297,000000";"261038,000000";"857";"Projetos Especiais - Renda Industrial";"333980";"S";"Conservação e Manutenção de Bens Móveis e Imóveis";"NUNO";"21/10/2010 09:42"
"298,000000";"262123,000000";"083";"Manut. e Reposição de Equipamentos de Informática - Orçamento";"333050";"";"Peças de Reposição e Acessórios";"NUNO";"24/05/2010 16:27"
"299,000000";"260651,000000";"174";"Acréscimos Orçamentários - Orçamento";"333343";"";"Locação de Veículos, Aeronaves e Outros";"NUNO";"11/06/2010 14:08"
"300,000000";"262255,000000";"174";"Acréscimos Orçamentários - Orçamento";"331801";"";"Auxílio Financeiro a Estudantes";"NUNO";"20/09/2010 14:35"
